time	linear displacement		
	actuator #1 [mm]	actuator #2 [mm]	actuator #3 [mm]
0	-0,000352899	-6,39E-05	0,0299486
0,01	-0,000984931	-7,16E-05	0,0301362
0,02	-0,00166685	-0,000121716	0,0303225
0,03	-0,0024502	-0,000261758	0,0305079
0,04	-0,00338668	-0,0005391	0,0306927
0,05	-0,00452813	-0,00100086	0,0308776
0,06	-0,00592654	-0,00169389	0,03106368,96	17,6043	63,3044	-16,0318
8,97	17,0912	63,4319	-16,1998
8,98	16,5745	63,5517	-16,3676
8,99	16,0542	63,6637	-16,535
9	15,5304	63,7679	-16,7022
9,01	15,0032	63,8642	-16,869
9,02	14,4725	63,9526	-17,0354
9,03	13,9384	64,0332	-17,2014
9,04	13,401	64,1058	-17,3669
9,05	12,8604	64,1706	-17,5318
9,06	12,3165	64,2273	-17,6961
9,07	11,7695	64,2762	-17,8599
9,08	11,2194	64,317	-18,0229
9,09	10,6662	64,3499	-18,1853
9,1	10,1101	64,3748	-18,3468
9,11	9,55108	64,3917	-18,5076
9,12	8,9892	64,4007	-18,6676
9,13	8,42453	64,4016	-18,8266
9,14	7,85714	64,3945	-18,9848
9,15	7,28709	64,3795	-19,1419
9,16	6,71445	64,3564	-19,2981
9,17	6,13929	64,3254	-19,4532
9,18	5,56167	64,2864	-19,6072
9,19	4,98167	64,2394	-19,7601
9,2	4,39935	64,1845	-19,9119
9,21	3,81479	64,1216	-20,0624
9,22	3,22805	64,0507	-20,2117
9,23	2,63922	63,972	-20,3597
9,24	2,04835	63,8853	-20,5063
9,25	1,45554	63,7908	-20,6517
9,26	0,860851	63,6884	-20,7956
9,27	0,26436	63,5781	-20,9381
9,28	-0,333855	63,46	-21,0791
9,29	-0,933716	63,3342	-21,2186
9,3	-1,53515	63,2005	-21,3566
9,31	-2,13807	63,0591	-21,493
9,32	-2,7424	62,91	-21,6277
9,33	-3,34806	62,7532	-21,7609
9,34	-3,95498	62,5888	-21,8924
9,35	-4,56306	62,4168	-22,0221
9,36	-5,17224	62,2372	-22,1502
9,37	-5,78242	62,05	-22,2764
9,38	-6,39352	61,8554	-22,4009
9,39	-7,00547	61,6533	-22,5235
9,4	-7,61817	61,4437	-22,6443
9,41	-8,23155	61,2269	-22,7631
9,42	-8,84552	61,0026	-22,8801
9,43	-9,46	60,7712	-22,9951
9,44	-10,0749	60,5324	-23,1082
9,45	-10,6901	60,2865	-23,2192
9,46	-11,3056	60,0335	-23,3282
9,47	-11,9213	59,7734	-23,4352
15,18	-64,9819	-6,68108	-0,542632
15,19	-64,9774	-6,10445	-0,232747
15,2	-64,9638	-5,52571	0,0768534
15,21	-64,9412	-4,94494	0,386122
15,22	-64,9095	-4,36222	0,69501
15,23	-64,8688	-3,77763	1,00347
15,24	-64,8189	-3,19126	1,31146
15,25	-64,7599	-2,6032	1,61892
15,26	-64,6919	-2,01352	1,92581
15,27	-64,6147	-1,42231	2,23209
15,28	-64,5284	-0,829649	2,53771
15,29	-64,4331	-0,235629	2,84261
15,3	-64,3286	0,359667	3,14677
15,31	-64,2151	0,956155	3,45012
15,32	-64,0925	1,55375	3,75263
15,33	-63,9609	2,15237	4,05426
15,34	-63,8202	2,75192	4,35495
15,35	-63,6705	3,35233	4,65466
15,36	-63,5118	3,9535	4,95335
15,37	-63,3441	4,55535	5,25098
15,38	-63,1675	5,1578	5,54751
15,39	-62,982	5,76076	5,84288
15,4	-62,7876	6,36415	6,13707
15,41	-62,5843	6,96787	6,43002
15,42	-62,3722	7,57185	6,72171
15,43	-62,1513	8,176	7,01208
15,44	-61,9216	8,78024	7,3011
15,45	-61,6833	9,38448	7,58872
15,46	-61,4362	9,98864	7,87492
15,47	-61,1806	10,5926	8,15964
15,48	-60,9164	11,1964	8,44286
15,49	-60,6437	11,7998	8,72453
15,5	-60,3625	12,4028	9,00462
15,51	-60,0729	13,0053	9,28309
15,52	-59,775	13,6072	9,5599
15,53	-59,4687	14,2084	9,83502
15,54	-59,1542	14,809	10,1084
15,55	-58,8316	15,4086	10,38
19,02	6,29776	7,15589	0,881027
19,03	6,13405	6,95361	0,848584
19,04	5,97252	6,75468	0,817001
19,05	5,81317	6,55909	0,786267
19,06	5,65602	6,36685	0,756372
19,07	5,50108	6,17795	0,727302
19,08	5,34838	5,99238	0,699047
19,09	5,19793	5,81014	0,671595
19,1	5,04973	5,63123	0,644934
19,11	4,9038	5,45563	0,619051
19,12	4,76015	5,28334	0,593936
19,13	4,6188	5,11435	0,569575
19,14	4,47974	4,94865	0,545958
19,15	4,34299	4,78622	0,523071
19,16	4,20856	4,62706	0,500902
19,17	4,07645	4,47115	0,479438
19,18	3,94667	4,31848	0,458669
19,19	3,81922	4,16904	0,43858
19,2	3,69411	4,0228	0,419161
19,21	3,57134	3,87975	0,400397
19,22	3,45091	3,73988	0,382277
19,23	3,33282	3,60316	0,364788
19,24	3,21707	3,46958	0,347918
19,25	3,10366	3,33912	0,331654
19,26	2,9926	3,21175	0,315983
19,27	2,88387	3,08745	0,300893
19,28	2,77748	2,9662	0,286372
19,29	2,67341	2,84799	0,272407
19,3	2,57167	2,73277	0,258985
19,31	2,47225	2,62054	0,246094
19,32	2,37514	2,51125	0,233722
19,33	2,28034	2,4049	0,221856
19,34	2,18783	2,30144	0,210484
19,35	2,0976	2,20085	0,199593
19,36	2,00964	2,1031	0,189172
19,37	1,92395	2,00816	0,179208
19,38	1,84051	1,91601	0,169689
19,39	1,75931	1,82661	0,160603
19,4	1,68033	1,73992	0,151938
19,41	1,60356	1,65592	0,143682
19,42	1,52898	1,57458	0,135824
19,43	1,45657	1,49585	0,128351
19,44	1,38632	1,41972	0,121253
19,45	1,31821	1,34613	0,114517
19,46	1,25222	1,27505	0,108132
19,47	1,18833	1,20645	0,102087
19,48	1,12652	1,1403	0,0963703
19,49	1,06677	1,07655	0,0909716
19,5	1,00905	1,01516	0,0858796
19,51	0,953334	0,956104	0,0810836
19,52	0,89961	0,899334	0,0765729
19,53	0,847846	0,844813	0,0723369
